Nui_Citations,nom(s) utilisés dans la source,type(s) de pratique,citation,page,lien vers Nui_Plantes,nom latin de la plante (colonne en doublon),lien vers Nui_Sources,"Auteur, nom (colonne en doublon)","Ouvrage, titre (colonne en doublon)","Ouvrage, date de publication (colonne en doublon)",note
nui_cit_00011,"Petiveria L., P. allicea L., Pétiver à odeur d'ail, Danday, devant-nègre.",biocide,"Est connu dans les pharmacies sous le nom de racine de Pipi. (...) Toutes les parties de la plante, surtout la racine, exhalent une odeur forte et pénétrante, peu agréable, qui rappelle celle de l'ail : on s'en sert pour écarter les insectres qui attaquent les habits et les étoffes de laine",p. 50,nui_pla_00048,petiveria alliacea,nui_sou_00003,Duss,Flore phanérogamique des Antilles françaises : Martinique et Guadeloupe,1897,(usage surement repris de Descourtilz cit. 3)
nui_cit_00012,"Portulaca L., oleracea, Pourpier",alimentaire,"Cette herbe se mange souvent crue, en salade, ou cuite, après qu'on a jeté la première eau (...) Martinique. Vulgo : Pourpier. - Abondant dans toute l'île ; se mange également. [° 1783]",p. 47,nui_pla_00055,Portulaca oleracea L.,nui_sou_00003,Duss,Flore phanérogamique des Antilles françaises : Martinique et Guadeloupe,1897,
nui_cit_00013,"Pluchea Cass., P. odorata Cass., Conyza odorataL., C. carolinensis Jacq. ; Pluchée odorante. Vulgo : Tabac à Jacot, bois-liège, grande sauge, Tabac-diable","culturale, médicinale","Pour l'avoir plus facilement sous la main, on la cultive souvent autour des maisons, dans les cours et les jardins. On l'emploie dans les bains chauds et en fomentations contre la paralysie ; l'infusion des feuilles est stomachique et les sommités mêlées aux aliements excitent l'appétit et facilitent la digestion : dans le pays, on se sert des feuilles et des boutons en infusion contre les refroiddements, les rhumes et la toux, et en décoction contre les fièvres et les fluxions de poitrine. [N°2523.]
Martinique. Vulgo : Tabac-diable. - Assez abondant.",p. 361,nui_pla_00050,Pluchea carolinensis (Jacq.) G. Don,nui_sou_00003,Duss,Flore phanérogamique des Antilles françaises : Martinique et Guadeloupe,1897,
nui_cit_00014,"Coleus aromaticus Benth (C. amboinensis Lour),",alimentaire,"Celle labiée, peu différente des Patchoulis, donne une essence aromatique et thérapeutique récemment étudiée par F. WEEHUIZEN au point de vue pharmaceutique. Elle est utilisée dans l'alimentation en Cochinchine et au Cambodge. Certains Plectranthus, très voisins de ce Coleus aromatique, ont été introduits en Indochine depuis peu, par MM . LEMARIE et HOFFNER, pour leurs tubercules alimentaires.",p. 91,nui_pla_00049,Plectranthus amboinicus (Lour.) Spreng.,nui_sou_00005,Maunier,Les plantes à parfums des colonies françaises,1932,
nui_cit_00015,ocimum gratissimum,"alimentaire, médicinale","M. GARDIES produit, à Ha-Giang, une essence de basilic; mais nous ne savons pas si elle provient bien exactement d'un Ocimum. Les O . Basilicum L., O gratissimum L., 0 . minimum L. sont répandus dans tout l'Extrême-Orient et, en particulier, très utilisés par les Annamites pour leurs préparations culinaires et comme médicaments.",p. 90,nui_pla_00045,ocimum gratissimum,nui_sou_00005,Maunier,Les plantes à parfums des colonies françaises,1932,"La citation concerne la Cochinchine ; l'ouvrage précise que pour l'Afrique équatoriale, Gabon, Ocimum gratissimum =Bagra (p. 41); en index l'espèce est associé au basilic"
nui_cit_00016,Pourpier,alimentaire,"La feüille & la racine d'une espèce d'Arum, ou de Pied de Veau, que les françois ont nommé Choux Caraïbes, le Pourpier, l'Epinard sauvage, les Bourgeons des Patates & des Mombiens étoient leurs mets extraordinaires, ou plûtôt leur servoient de ragouts, ils mêloient tout cela ensemble, en relevoient le gout par leur Axi, ou Pimen, & donnoient à cette composition le nom d'Yracas. ",p. 50,nui_pla_00055,Portulaca oleracea L.,nui_sou_00069,"Charlevoix, Pierre-François-Xavier de (1682-1761)"," Histoire de l'Isle espagnole ou de S. Domingue : ecrite particulierement sur des memoires manuscrits du P. Jean-Baptiste le Pers, jesuite, missionnaire à Saint Domingue, & sur les pieces originales, qui se conservent au dépôt de la marine Par le P. Pierre-François-Xavier de Charlevoix, de la compagnie de Jesus. ",1730,variété non précisée
nui_cit_00017,"Labiées, Ocymum gratissimum L. (Ran-e-lon-la)",médicinale,"Toutes ces plantes jouissent des propriétés aromatiques, exitantes, qui caractérisent les Labiées en général, digestives, fébrifuges et pectorales. Les graines sont employées contre les morsures des serpents. ",p. 768 v. 3,nui_pla_00045,ocimum gratissimum,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Cochinchine
nui_cit_00018,Coleus amboinicus Lour. (Rau-thom-loung),"alimentaire, médicinal","Plante réputée tonique, céphalique, employée dans l'asthme, la bronchite chronique. On la mange parfois.",p. 769 v. 3,nui_pla_00049,Plectranthus amboinicus (Lour.) Spreng.,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Cochinchine
nui_cit_00019,"Portulaccacées, Portulacca oleracea L. ",alimentaire? ou culturale?,"Plante herbacée, à feuilles sessiles, charnues. Une variété à fleurs jaunes porte le nom de Pourpier doré. _ Cultivée comme plante potagère. ",p. 862 v. 3,nui_pla_00055,Portulaca oleracea L.,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne Tahiti
nui_cit_00020,Psidium pomiferum,autre,"Bois bon pour faire des manches d'outils, des piquets",p. 348 v. 2 ,nui_pla_00056,Psidium guajava L.,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne le Sénégal
nui_cit_00021,"Psidium pomiferum L. (Goyavier rouge, Poirier des Indes)",médicinale,Les racines et les feuilles sont astringentes et employées contre la dysenterie.,p. 384 v. 2,nui_pla_00056,Psidium guajava L.,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Guyane
nui_cit_00022,Neuroloena bilobata R. Br. (Herbe à pique.),médicinale,Cette plante sert à préparer une teinture alocoolique stomachique.,p. 464 v. 2,nui_pla_00044,Neurolaena lobata (L.) Cass.,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Martinique
nui_cit_00023,"Eryngium foetidum L., Azier la fièvre","alimentaire, médicinale","Cette plante passe pour fébrifuge. D'après Seemann, elle est usitée comme comestible à Panama. ",p. 391 v. 2,nui_pla_00026,eryngium foetidum,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Guyane
nui_cit_00024,Petiveria alliacea L. ,médicinale,"Les feuilles sont employées comme sudorifiques et dépuratives. La racine, qu'on applique surles dents cariées, passe aussi pour être un abortif puissant. Toute la plante exhale une odeur alliacée désagréable, qui se communique au lait et à la chair des animaux qui la broutent.",p. 386 v. 2,nui_pla_00048,petiveria alliacea,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Guyane
nui_cit_00025,"Pluchea odorata Cass. (Placus odoratus H. Bn), Tabac diable",médicinale,Plante alexitère et préconisée comme stimulante,p. 465 v. 2,nui_pla_00050,Pluchea carolinensis (Jacq.) G. Don,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Martinique
nui_cit_00026,Psidium pomiferum L. Psidium pyriferum L.,autre,"Le bois est dur, serré et bon pour faire des manches d'outils. Il est surtout employé pour la construction des cases des noirs. ",p. 165 v. 1,nui_pla_00056,Psidium guajava L.,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Martinique ; hors du champs attendu pour le projet (pratique relatives aux feuilles)
nui_cit_00027,"Psidium guava Radd., Psidium pomiferum ou pyriferum L., Goyaviers",autre,"Ces arbres donnent un excellement bois d'ébénisterie, de charpente et de charronnage. Leur écorce est employée pour le tannage. _ Densité, 0,0849 ; élesticité, 1,473 ; résisteance, 1,532.",p. 183 v. 1,nui_pla_00056,Psidium guajava L.,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Guadeloupe ; hors du champs attendu pour le projet (pratique relatives aux feuilles)
nui_cit_00028,"Psidium pomiferum L., Goyavier du pays à fruits rouges",autre,Bois de menuiserie ; on en fait un bon charbon de forge. Il est du reste de petites dimensions. ,p. 203 v. 1,nui_pla_00056,Psidium guajava L.,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Réunion ; hors du champs attendu pour le projet (pratique relatives aux feuilles)
nui_cit_00029,"Psidium pyriferum, Goyavier marron",autre,"Bois blanc, droit à grain serré, élastique, bon pour les charpentes de petites dimensions et pour faire des douvelles et des avirons.",p. 203 v. 1,nui_pla_00056,Psidium guajava L.,nui_sou_00008,"Lanessan, de, Jean-Marie Antoine Louis (1843-1919)",Les plantes utiles des colonies françaises,1886,La citation concerne la Réunion ; hors du champs attendu pour le projet (pratique relatives aux feuilles)
nui_cit_00030,"Pourpier cultivé, Portulaca oleracea",médicinale,"A juger de cette plante par les éloges qui lui ont été prodigués, on serait tenté de croire qu'elle est pourvue d'éminentes vertus ; mais rien n'est plus  douteur que les bons effets qu'on lui a attribués dans le scorbut, l'hémoptysie, les fièvres ardentes, etc. On peut néanmoins l'employer dans les bouillons altérans, et l'associer au Cresson, à la Chicorée et autres plantes potagères. L'eau distillée des feuilles de Pourpier était autrefois d'un très-grand usage dans les juleps tempérans ; mais elle est inodore, insipide ; et on peut très-bien la remplacer par l'eau de fontaine. Les semences sont mises au nombre de semences froides mineures ; on leur attribue une proprité réfrigérante, et on les applique au traitement des phlegmasies internes. Un semblable moyen doit offrir un secours bien précaire.",p. 72 v. 2,nui_pla_00055,Portulaca oleracea L.,nui_sou_00015,"Roques, Joseph ()","Plantes usuelles, indigènes et exotiques, dessinées et coloriées d'après nature, avec la description de leurs caractères distinctifs et de leurs propriétés médicinales",1807-1808,planche représentant la plante
nui_cit_00031,"Psidium pomiferum, gallis, goyavier sauvage","autre, médicinale","L'écorce du goyavier contient beaucoup d'acide gallique et de tanin, aussi s'en sert-on pour le tannage des cuirs ; on fait aussi avec l'écorce des racines, ou les bourgons naissans, des tisanes actringentes; le bois est bon à brûler ; on en fait de très-bon carbon, mais il n'est point employé dans la construction des bâtimens, parce qu'il se tourmente toujours.",p. 93 v. 2 ,nui_pla_00056,Psidium guajava L.,nui_sou_00016,"Tussac, de, François Richard (1786-1827)","Flore des Antilles, ou Histoire générale, botanique, rurale et économique des végétaux indigènes des Antilles, et des exotiques que l'on est parvenu à y Naturaliser",1808-1827,hors du champs attendu pour le projet (pratique relatives aux feuilles) ; planche représentant la plante
nui_cit_00032,Goyavier,alimentaire,"Après avoir rencontré, chemin faisant, quelques matelots d'une chaloupe arrivant de Saint-Domingue, assis autour d'un boucan (I), et être resté dans l'admiration à la vue d'un énorme rocher caverneux qui leur servoit d'abri, nous arrivâme au fort. 
(I) Endroit où les naturels des Antilles enfument leur viande à la vapeur aériforme de plantes aromatiques, telles que feuilles de citronnier, de goyavier, etc.",p. 308 t. 1,nui_pla_00056,Psidium guajava L.,nui_sou_00017,"Descourtilz, Michel-Étienne ()",Voyages d’un naturaliste et ses observations faites sur les trois règnes de la Nature,1809,
nui_cit_00033,Goyavier,alimentaire,"La chair du boeuf marron est infiniment préférable à celle du boeuf domestique. On fait avec les entre-côtes des aiguillettes recherchées par les gourmets, et qu'on prépare avec du sel, des épices, après les avoir imbibées de just de citron. On les soumet ensuite à la fumée de plantes aromatiques mouillées, comme feuilles d'oranger, de citronnier, de goyaviers, etc. ",p. 163 t. 2 ,nui_pla_00056,Psidium guajava L.,nui_sou_00017,"Descourtilz, Michel-Étienne ()",Voyages d’un naturaliste et ses observations faites sur les trois règnes de la Nature,1809,planche représentant la plante p. 75
nui_cit_00034,Goyavier,alimentaire,"Les chairs des pintades acquiert en liberté un goût exquis, dû au choix de leur nourriture. Les vieilles sont très-estimées à la daube, tandis que les pintadeaux plus délicats se servent rôtis, entourés par un raffinement de gastromanie, de feuilles de goyavier ou de citronier. ",p. 179 t. 2,nui_pla_00056,Psidium guajava L.,nui_sou_00017,"Descourtilz, Michel-Étienne ()",Voyages d’un naturaliste et ses observations faites sur les trois règnes de la Nature,1809,planche représentant la plante p. 75
nui_cit_00035,Goyavier,alimentaire,"Le Merlan. Celui de Saint-Domingue est beaucoup plus gros que celui d'Europe. On pêche ce gade avec des folles, ou plutôt des cordes flottantes garnies de leurs hameçons. Les nègres en prennent, à certaine époque de l'année, une si grande quantité que, ne pouvant tout vendre, ils fument ou marinent ce qui leur reste : et voici comment ils procèdent à ces deux opérations : après les avoir vidés, ils les étendent sur des claies, où ils restent, pendant douze heures environ, exposés à la fumée de feuilles d'oranger, de goyavier et de citronnier. Pour les mariner, ils les vident, les recouvrent de sel pendant quelques heures, les retirent, les font sécher au soleil, puis les arrosent d'huile, enfin les grillent légèrement ; ensuite on les étend dans un baril, sur des  feuilles de laurier, de citronnier, et sur des tranches de citron saupoudrées d'épices. ",p. 286 t.2,nui_pla_00056,Psidium guajava L.,nui_sou_00017,"Descourtilz, Michel-Étienne ()",Voyages d’un naturaliste et ses observations faites sur les trois règnes de la Nature,1809,planche représentant la plante p. 75
